Testes,Tamanhos,Tempos,Pacotes,Reenvios
0,100,618.1606502532959,4095973,0
1,100,603.5811774730682,4095973,0
2,100,609.5175127983093,4095973,0
3,100,595.5952620506287,4095973,0
4,100,589.8877689838409,4095973,0
5,100,596.8328363895416,4095973,0
6,100,599.4635345935822,4095973,0
7,100,588.215991973877,4095973,0
8,100,581.2298521995544,4095973,0
9,100,603.5599157810211,4095973,0
0,500,122.3948187828064,819196,0
1,500,124.09078431129456,819196,0
2,500,124.52579498291016,819196,0
3,500,129.88308835029602,819196,0
4,500,126.86087846755981,819196,0
5,500,126.82047629356384,819196,0
6,500,136.74588680267334,819196,0
7,500,133.11480498313904,819196,0
8,500,131.69846987724304,819196,0
9,500,124.04574489593506,819196,0
0,1000,91.4771876335144,409599,0
1,1000,91.18001866340637,409599,0
2,1000,91.24642992019653,409599,0
3,1000,90.81075382232666,409599,0
4,1000,91.05000948905945,409599,0
5,1000,90.86288690567017,409599,0
6,1000,91.83081126213074,409599,0
7,1000,91.28479552268982,409599,0
8,1000,91.43878889083862,409599,0
9,1000,91.16267395019531,409599,0
